Date,Open*,High,Low,Close**,Volume,Market Cap,Averages,Price in SATS,Bitcoin Price
8-Apr-19,12.91,13.25,12.18,12.7,"310,219,064","825,317,681",12.715,0.003458551,"5,233.53"
7-Apr-19,13.08,13.3,12.66,12.9,"264,198,390","838,234,869",12.98,0.003362385,"5,142.80"
6-Apr-19,13.52,13.55,12.9,13.08,"264,946,611","850,512,085",13.225,0.003281422,"5,099.02"
5-Apr-19,12.83,13.73,12.75,13.54,"334,393,237","880,053,909",13.24,0.002188898,"4,986.50"
4-Apr-19,12.1,13.61,12.01,12.83,"525,976,539","834,225,623",12.81,0.00154753,"4,949.98"
3-Apr-19,11.54,13.61,11.46,12.15,"713,988,466","789,824,031",12.535,0.001460218,"5,091.81"
2-Apr-19,10,11.58,10,11.52,"554,561,782","749,068,362",10.79,0.002754842,"4,530.64"
1-Apr-19,9.97,10.05,9.83,10,"329,156,999","650,294,919",9.94,0.001514447,"4,130.93"
31-Mar-19,9.86,9.97,9.62,9.96,"302,469,057","647,384,058",9.795,0.002713413,"4,103.56"
30-Mar-19,9.81,10.32,9.66,9.85,"357,435,989","640,464,208",9.99,0.002166154,"4,175.36"
29-Mar-19,9.3,9.81,9.22,9.81,"329,601,231","637,684,574",9.515,0.00146987,"4,073.80"
28-Mar-19,9.4,9.41,9.22,9.29,"254,939,830","603,864,991",9.315,0.002563252,"4,067.59"
27-Mar-19,8.97,9.43,8.97,9.4,"306,046,445","611,111,938",9.2,0.00141965,"4,032.44"
26-Mar-19,8.99,9.03,8.77,8.98,"277,103,933","583,781,472",8.9,0.001312392,"3,964.92"
25-Mar-19,9.21,9.35,8.88,9.01,"283,144,186","585,376,071",9.115,0.002474565,"3,986.44"
24-Mar-19,9.41,9.43,9.11,9.19,"277,997,571","597,121,064",9.27,0.001464458,"4,023.45"
23-Mar-19,9.24,9.42,9.19,9.42,"251,277,165","612,098,597",9.305,0.000998179,"4,032.92"
22-Mar-19,9.04,9.36,9.04,9.23,"297,369,881","600,207,837",9.2,0.002376708,"4,037.73"
21-Mar-19,9.4,9.43,8.92,9.04,"299,041,688","587,353,173",9.175,0.002320324,"4,051.26"
20-Mar-19,9.31,9.41,9.08,9.4,"313,948,902","610,708,158",9.245,0.001316626,"4,060.29"
19-Mar-19,9.22,9.35,9.12,9.31,"265,459,635","604,901,902",9.235,0.00160158,"4,053.02"
18-Mar-19,9.3,9.38,9.14,9.22,"359,608,160","599,587,331",9.26,0.001332873,"4,040.34"
17-Mar-19,9.52,9.55,9.25,9.29,"284,618,106","603,828,092",9.4,0.002395576,"4,030.27"
16-Mar-19,9.33,9.74,9.33,9.52,"289,565,478","618,921,004",9.535,0.001014956,"4,019.35"
15-Mar-19,9.37,9.41,9.19,9.32,"240,911,036","606,052,175",9.3,0.001658737,"3,941.28"
14-Mar-19,9.02,9.4,8.88,9.38,"328,168,530","609,381,363",9.14,0.001730897,"3,923.90"
13-Mar-19,8.9,9.18,8.85,9.02,"299,672,755","586,399,822",9.015,0.001013808,"3,909.25"
12-Mar-19,8.8,9.01,8.53,8.9,"268,597,663","578,336,320",8.77,0.002159947,"3,895.23"
